fLength,fSize,fConc,fConc1,fAlpha,fDist,class
28.7967,2.6449,0.3918,0.1982,40.092,81.8828,1
31.6036,2.5185,0.5303,0.3773,6.3609,205.261,1
162.052,4.0612,0.0374,0.0187,76.96,256.788,1
23.8172,2.3385,0.6147,0.3922,10.449,116.737,1
75.1362,3.1611,0.3168,0.1832,4.648,356.462,1
51.624,2.9085,0.242,0.134,3.613,238.098,1
48.2468,3.0332,0.2529,0.1515,4.792,219.087,1
26.7897,2.5521,0.4236,0.2174,0.812,237.134,1
96.2327,4.154,0.0779,0.039,4.854,248.226,1
46.7619,2.5786,0.3377,0.1913,7.875,102.251,1
62.7766,3.3331,0.2475,0.1261,9.9144,323.094,1
18.8562,2.4385,0.5282,0.2933,11.461,162.848,1
45.6321,3.0441,0.2213,0.1215,0.3822,178.255,1
33.1818,2.4955,0.4696,0.2412,41.929,41.3816,1
60.458,3.1944,0.4679,0.2464,8.292,372.568,1
29.4741,2.6258,0.3077,0.174,48.0364,214.126,1
36.1741,2.946,0.2865,0.1591,0.254,191.455,1
46.2915,2.7756,0.3403,0.192,38.707,75.5234,1
46.0588,3.2217,0.2431,0.1504,8.686,180.783,1
44.7394,2.638,0.3107,0.1715,3.251,221.806,1
91.6423,3.8484,0.078,0.043,16.622,285.414,1
86.0486,3.3587,0.2369,0.1662,2.005,302.553,1
90.5299,3.033,0.2122,0.108,2.039,272.038,1
20.3836,2.3365,0.6359,0.3894,43.0032,66.1667,1
87.2384,2.8848,0.3155,0.1806,4.4265,342.504,1
107.338,3.5265,0.1315,0.0683,3.312,293.781,1
27.2304,2.6375,0.371,0.2039,77.5379,104.283,1
26.7065,2.6781,0.4281,0.2214,26.881,63.7637,1
23.5647,2.2095,0.5679,0.3364,26.5328,185.189,1
34.7486,2.5629,0.3666,0.1984,1.521,109.445,1
50.4829,3.3194,0.1941,0.1133,22.471,141.601,1
87.4217,3.4231,0.2809,0.1761,0.3647,371.79,1
34.9205,2.8457,0.3267,0.1762,9.59,154.712,1
28.6609,2.8609,0.3402,0.1894,20.7574,199.059,1
75.2057,3.1334,0.192,0.0997,1.5926,282.915,1
84.61,3.6809,0.1393,0.0714,17.575,258.597,1
45.6094,3.0438,0.226,0.1162,4.25,165.582,1
37.742,3.0404,0.2478,0.1508,24.216,131.601,1
38.1817,2.6906,0.3262,0.1662,2.572,177.008,1
73.6263,3.4533,0.2493,0.1333,4.471,372.317,1
63.3453,3.4233,0.2339,0.1375,0.64,291.553,1
16.7608,2.2989,0.5829,0.3291,62.618,169.688,1
27.6746,2.5422,0.3759,0.2224,19.3719,223.241,1
13.2617,2.1319,0.7823,0.4096,68.604,107.851,1
61.6463,3.4303,0.2112,0.1086,4.2131,234.581,1
18.6533,2.4338,0.523,0.337,4.7998,55.7509,1
38.1627,3.1041,0.247,0.1279,5.5119,188.124,1
12.974,2.1021,0.7431,0.4704,42.2408,168.245,1
63.2886,3.4434,0.2342,0.1273,0.9753,302.897,1
24.999,2.5434,0.432,0.2332,9.862,174.003,1
35.9913,2.7466,0.3297,0.1801,0.2425,175.99,1
44.0846,2.8974,0.1963,0.0994,16.119,210.596,1
65.3574,2.7376,0.2855,0.1601,4.874,272.68,1
43.7724,2.8982,0.2743,0.141,16.25,273.837,1
33.4858,2.7969,0.3623,0.1891,12.9506,169.066,1
92.8723,3.1553,0.242,0.1619,7.7301,304.585,1
19.6562,2.238,0.578,0.3266,63.03,118.341,1
96.8578,3.9903,0.1204,0.0679,3.8107,340.996,1
95.5207,4.1295,0.1005,0.0543,0.084,260.879,1
22.7945,2.567,0.5203,0.294,6.7835,110.258,1
66.7336,3.4357,0.1683,0.0889,9.941,223.912,1
45.0172,2.699,0.284,0.167,8.718,178.647,1
99.6416,2.4362,0.3846,0.1996,74.5664,57.7231,1
20.8112,2.1255,0.7041,0.3558,85.103,235.951,1
96.3755,3.359,0.2179,0.1376,9.782,307.321,1
30.3331,2.4526,0.4762,0.2416,0.9075,74.5242,1
20.9491,2.1414,0.7292,0.3935,40.656,146.512,1
49.6143,3.2641,0.1769,0.089,0.67,150.761,1
26.9766,2.3064,0.4593,0.2395,3.675,197.338,1
29.817,2.7372,0.3718,0.239,15.9328,222.184,1
23.0242,2.2188,0.4471,0.2326,33.4008,210.819,1
66.1331,3.1984,0.1495,0.075,11.5159,160.519,1
34.9502,3.0663,0.297,0.1644,17.6684,201.404,1
23.6353,2.4661,0.6291,0.4085,43.565,194.384,1
20.4754,2.4425,0.4116,0.2148,13.8089,55.4986,1
59.7337,2.7997,0.2966,0.1895,5.094,217.856,1
22.6397,2.1492,0.5603,0.3156,14.3756,251.28,1
92.937,3.0885,0.3108,0.1937,3.497,358.99,1
86.5636,3.8026,0.1508,0.0809,2.643,306.55,1
39.3737,2.7763,0.3213,0.1615,3.7449,201.01,1
41.2629,3.1361,0.2807,0.1626,7.6147,219.077,1
89.8648,3.8899,0.1487,0.0805,3.689,158.618,1
24.999,2.5993,0.4327,0.2453,81.8671,120.263,1
19.5793,2.2934,0.514,0.2824,13.17,130.918,1
21.8344,2.1804,0.7063,0.3531,35.4993,95.7374,1
87.5837,3.9208,0.125,0.0667,2.428,255.315,1
53.7339,2.4298,0.4572,0.2955,1.886,32.6827,1
34.889,2.8429,0.3747,0.2534,8.376,227.336,1
41.0677,2.7308,0.3532,0.1812,17.671,213.317,1
60.0261,2.8052,0.26,0.1433,1.3841,230.089,1
70.0322,3.1573,0.1775,0.0929,2.936,294.746,1
74.5714,2.9914,0.3182,0.1627,4.029,363.489,1
77.9219,3.7043,0.2059,0.1232,0.2442,327.992,1
39.1755,2.7966,0.345,0.2005,6.4974,299.173,1
18.1607,2.2718,0.6043,0.3289,43.3661,147.236,1
25.4762,2.4048,0.4134,0.2303,24.847,193.349,1
23.4494,2.5605,0.4539,0.2655,83.8081,235.203,1
32.0586,2.5072,0.3826,0.2037,12.1807,193.794,1
18.4475,2.4074,0.5714,0.4051,69.2291,219.394,1
41.4001,3.0414,0.2036,0.1023,0.6344,91.228,1
92.5854,3.0071,0.3119,0.1923,2.5099,293.081,1
29.3424,2.5496,0.3272,0.165,39.189,168.084,1
47.8275,2.747,0.2775,0.1603,4.798,159.704,1
73.2547,2.5545,0.357,0.1939,23.149,282.616,1
26.0862,2.4099,0.4397,0.2354,4.1527,183.852,1
94.2369,2.7727,0.297,0.1612,1.854,302.219,1
38.1089,2.3927,0.3887,0.2126,13.741,154.264,1
33.5874,2.5821,0.3979,0.2134,25.657,166.95,1
50.8293,3.3959,0.2162,0.1236,3.6565,189.155,1
25.0275,2.5391,0.4884,0.3078,65.2451,72.7386,1
26.8928,2.8439,0.3782,0.2357,23.821,109.02,1
28.0883,2.2504,0.5899,0.3174,27.549,146.596,1
35.8144,2.57,0.393,0.214,23.123,142.372,1
29.3108,2.6464,0.4402,0.2223,24.109,69.2467,1
19.6419,2.2,0.795,0.571,34.817,182.016,1
23.6924,2.3181,0.6683,0.4543,27.014,128.707,1
27.4888,2.8639,0.3078,0.1854,23.5868,188.636,1
117.749,3.1921,0.1606,0.0806,2.582,188.983,1
26.8971,2.7657,0.319,0.1655,41.065,152.596,1
13.1994,2.224,0.7761,0.4209,54.0277,181.817,1
25.1576,2.4564,0.4615,0.236,47.777,149.657,1
18.2028,2.4526,0.5115,0.2945,2.5957,48.9988,1
70.6584,3.1041,0.2541,0.1334,0.45,288.263,1
101.703,3.9457,0.1462,0.077,4.0677,327.251,1
58.1232,2.8837,0.1791,0.0922,20.194,94.0063,1
20.7445,2.5916,0.4686,0.2446,25.7775,91.6373,1
56.2418,2.8943,0.2092,0.1103,1.574,250.91,1
70.2768,3.3917,0.1294,0.0651,2.9261,233.617,1
81.2317,3.7262,0.1694,0.0893,4.155,295.38,1
32.7059,2.5804,0.4074,0.2142,40.3711,99.7447,1
42.3725,3.2909,0.2533,0.1343,0.6925,182.477,1
80.3994,2.8445,0.3004,0.1581,5.066,272.617,1
25.5688,2.2911,0.7161,0.422,74.308,316.47,1
16.9286,2.4116,0.5736,0.3314,18.5125,190.039,1
18.8734,2.5821,0.4686,0.2579,17.1286,114.938,1
34.1619,2.9974,0.2907,0.1554,11.6079,163.722,1
30.0005,2.934,0.3062,0.1857,27.943,151.522,1
41.3848,2.7938,0.3521,0.1889,9.628,308.373,1
25.2228,2.3738,0.4989,0.2939,66.649,78.9436,1
21.6891,2.316,0.5604,0.2923,1.5485,232.154,1
20.5839,2.4191,0.4724,0.2648,26.586,199.96,1
25.2091,2.3701,0.4989,0.3006,41.563,147.489,1
35.7062,2.3664,0.5204,0.329,1.2543,201.751,1
62.6886,3.2496,0.2077,0.1084,3.121,229.768,1
19.7366,2.1383,0.7636,0.4109,24.7838,173.073,1
48.4695,2.9917,0.2345,0.1177,6.955,203.072,1
22.5702,2.1629,0.7904,0.4021,80.3449,210.833,1
18.249,2.2529,0.6034,0.3156,15.8259,159.544,1
28.4148,2.4778,0.5923,0.4409,13.6965,136.651,1
47.6,2.8092,0.2762,0.1497,2.608,178.462,1
33.3528,2.7551,0.3796,0.275,8.709,196.918,1
97.794,3.5327,0.1516,0.077,3.2128,256.435,1
13.1155,2.1973,0.8,0.5238,58.845,166.287,1
52.8479,2.9462,0.3667,0.2054,6.087,309.622,1
40.6097,2.9117,0.2304,0.1219,0.774,233.346,1
65.6069,3.8528,0.1433,0.073,0.7567,246.341,1
63.8128,3.5143,0.1958,0.1088,1.919,284.652,1
22.5539,2.2068,0.559,0.2888,9.215,236.65,1
59.817,2.8808,0.3132,0.1678,5.235,289.536,1
27.1044,2.4241,0.5198,0.3145,29.844,225.566,1
21.776,2.356,0.6344,0.3722,22.3655,120.076,1
20.6454,2.2844,0.774,0.4545,2.7533,175.992,1
91.6174,4.0942,0.0806,0.0406,3.0094,256.828,1
60.8598,2.6128,0.2561,0.1378,4.182,146.803,1
35.577,2.9805,0.3964,0.2202,2.0711,225.707,1
31.6173,2.7197,0.2402,0.1268,22.951,157.613,1
85.9355,3.0755,0.3134,0.1735,4.7597,335.983,1
20.0777,2.404,0.5286,0.2939,36.457,132.889,1
59.6124,3.4791,0.1888,0.1113,1.1057,264.642,1
72.969,3.008,0.2749,0.1537,4.087,291.175,1
20.7154,2.2443,0.7066,0.3618,88.4999,189.577,1
23.807,2.4289,0.5624,0.3184,10.378,216.895,1
24.38,2.616,0.4915,0.3087,0.8652,256.869,1
36.5237,2.4786,0.4252,0.2176,12.715,109.517,1
19.0154,2.5085,0.6326,0.4264,58.903,174.401,1
23.8915,2.534,0.5088,0.3173,6.2472,131.247,1
82.3156,2.7404,0.3636,0.2464,10.08,288.194,1
72.8104,3.096,0.307,0.1607,0.644,286.265,1
20.4525,2.1775,0.7243,0.3754,9.1256,159.126,1
23.6179,2.5224,0.5495,0.3739,47.786,86.2468,1
80.0169,3.6714,0.1577,0.0898,4.142,228.254,1
20.7779,2.081,0.722,0.3693,28.79,177.459,1
37.3516,2.7882,0.3958,0.2093,1.713,184.572,1
25.0056,2.2753,0.4562,0.2308,4.2353,169.08,1
42.1289,2.4969,0.3121,0.1704,12.9801,220.713,1
24.3343,2.5302,0.3953,0.1991,10.288,125.972,1
17.8912,2.3075,0.6404,0.3818,44.74,225.809,1
21.6327,2.5434,0.4206,0.2246,10.615,186.555,1
60.7883,2.8868,0.2336,0.1201,5.097,237.768,1
78.6493,3.7751,0.1103,0.0568,3.227,161.776,1
84.2741,3.8949,0.1233,0.0635,3.7714,260.378,1
77.5343,3.2671,0.2584,0.1436,1.892,213.191,1
20.5321,2.4829,0.4803,0.2582,44.9,207.691,1
33.7616,2.7941,0.3759,0.2096,32.377,140.921,1
68.0121,3.0824,0.2738,0.1576,3.9746,313.967,1
23.1657,2.2201,0.5723,0.2982,82.0505,193.769,1
42.1441,2.7459,0.3339,0.1966,1.7038,228.537,1
36.079,2.3793,0.4301,0.2317,26.3559,147.636,1
74.3456,3.2412,0.1521,0.0801,31.553,211.97,1
101.424,4.1837,0.0793,0.0421,6.1992,265.012,1
43.1994,2.8011,0.2735,0.1431,7.6914,154.427,1
61.6933,2.9015,0.276,0.1449,2.926,234.109,1
23.2114,2.7466,0.414,0.2195,2.8462,51.4993,1
25.2455,2.6191,0.3678,0.1863,81.6368,229.061,1
78.2002,3.2357,0.2005,0.1212,12.616,217.965,1
31.5256,2.3324,0.6093,0.3837,10.2785,189.48,1
57.1656,2.9978,0.197,0.1,12.267,247.114,1
26.3353,2.6522,0.343,0.1793,27.835,194.042,1
45.8894,2.4065,0.4,0.2059,1.7371,227.008,1
39.2192,2.8534,0.4064,0.2306,9.1923,225.515,1
52.221,2.6435,0.4523,0.3125,5.096,185.44,1
23.1587,2.1319,0.7675,0.3875,61.5621,147.73,1
19.7592,2.3664,0.5419,0.2989,18.354,182.91,1
32.5377,2.8561,0.2925,0.1762,27.297,136.814,1
23.153,2.8065,0.3622,0.2006,27.621,78.7331,1
36.9017,3.0876,0.1855,0.0977,1.9727,135.037,1
29.1556,2.5441,0.5257,0.27,1.925,216.048,1
100.747,2.944,0.3322,0.211,0.305,230.713,1
46.5588,3.3971,0.1864,0.0996,12.727,107.747,1
33.3045,2.6862,0.3687,0.2029,5.2437,215.956,1
29.8023,2.2999,0.4862,0.2882,0.352,209.784,1
86.5346,4.1111,0.0915,0.0458,4.8152,219.069,1
64.6445,2.7168,0.3186,0.1679,10.304,261.443,1
64.4081,3.1281,0.1951,0.1016,1.0067,224.491,1
20.683,2.0233,0.7014,0.3649,56.923,137.98,1
68.8466,2.7835,0.3029,0.1802,0.137,248.86,1
31.5283,2.8618,0.3368,0.1945,50.0234,38.7816,1
90.239,2.8293,0.3526,0.1844,3.241,303.714,1
20.9663,2.3274,0.4282,0.2141,47.8491,218.66,1
13.0557,2.2188,0.7613,0.4502,74.1884,175.677,1
79.9539,3.1602,0.2497,0.1518,17.7108,171.441,1
44.9999,3.03,0.2231,0.1405,46.1539,15.3696,1
26.611,2.4878,0.4195,0.2715,29.5051,135.119,1
70.457,3.0195,0.2562,0.1496,34.2372,216.957,1
36.9794,2.9834,0.2213,0.12,46.43,93.9373,1
16.3371,2.3464,0.6036,0.3131,69.7431,224.031,1
71.2234,2.9445,0.2557,0.1494,7.615,223.184,1
45.8732,2.5653,0.3837,0.219,4.6366,192.525,1
33.429,2.7792,0.2976,0.1538,29.644,28.8145,1
43.351,2.9287,0.3477,0.221,20.664,140.19,1
56.2479,3.1942,0.2168,0.1103,0.556,220.971,1
100.226,3.3769,0.2179,0.1321,4.4376,299.45,1
34.4244,2.4955,0.4888,0.254,27.604,182.12,1
22.2442,2.5735,0.5581,0.3298,6.6462,147.737,1
37.3887,2.5843,0.3333,0.181,1.818,245.343,1
92.6284,3.5469,0.1703,0.1134,6.878,273.371,1
32.2468,2.6532,0.3867,0.21,16.2095,168.025,1
50.0122,3.0388,0.257,0.1331,2.8523,201.766,1
63.7616,3.1096,0.2712,0.1356,3.473,243.311,1
68.9648,3.1307,0.2102,0.1121,0.402,253.006,1
80.7093,3.5386,0.1276,0.0704,30.763,280.767,1
49.6601,3.1746,0.3017,0.1843,5.4509,197.243,1
22.8274,2.2355,0.5581,0.311,33.5573,164.843,1
50.5984,3.0586,0.2464,0.1315,8.44,270.007,1
22.4236,2.5938,0.4968,0.3146,53.815,139.193,1
37.6518,2.8561,0.4805,0.3015,7.803,184.216,1
21.1221,2.2967,0.697,0.452,75.3948,167.109,1
70.4799,2.7906,0.3142,0.2016,4.5199,251.386,1
26.466,2.6107,0.4044,0.2463,6.6995,169.81,1
19.4731,2.4556,0.5219,0.3205,53.7383,202.139,1
18.9671,2.4417,0.557,0.3165,31.4965,163.805,1
33.5123,2.4742,0.4866,0.3104,6.8985,199.944,1
49.2754,2.7509,0.3141,0.1588,1.985,177.428,1
114.806,2.6716,0.3706,0.2524,41.91,127.577,1
24.5581,2.6628,0.3957,0.1989,26.996,165.258,1
17.1997,2.2844,0.8312,0.5532,19.79,217.318,1
86.5389,2.8756,0.3023,0.1565,1.53,245.673,1
12.871,2.2516,0.7899,0.5686,40.035,146.03,1
36.1618,3.1178,0.2127,0.1216,33.371,142.269,1
21.1474,2.5599,0.4435,0.2658,35.595,122.94,1
13.123,2.1569,0.7666,0.4146,88.1516,98.8626,1
53.5736,3.5737,0.1956,0.0986,7.596,171.407,1
29.1123,2.635,0.3175,0.1657,36.953,190.445,1
74.4746,2.9717,0.2818,0.1435,5.847,286.639,1
29.4259,2.4526,0.3633,0.2028,45.059,142.487,1
40.749,3.2122,0.1933,0.1009,8.364,169.123,1
33.8898,2.9647,0.3026,0.1719,6.891,90.7788,1
85.6478,3.3537,0.2719,0.2004,0.7472,318.342,1
21.4944,2.2304,0.5588,0.3088,14.8311,207.058,1
35.9225,2.5224,0.3093,0.1607,2.969,131.396,1
38.5491,3.0384,0.2947,0.1515,7.8488,156.407,1
32.0949,2.6915,0.4049,0.237,14.233,197.379,1
29.9358,2.7427,0.302,0.1691,39.0829,143.347,1
24.8738,2.7675,0.3194,0.1648,31.2269,68.9708,1
13.1469,2.2467,0.7819,0.4788,27.3603,225.093,1
23.6426,2.3149,0.7312,0.3705,0.0,122.76,1
36.2124,2.3838,0.3884,0.1963,27.4653,53.5635,1
31.3143,2.873,0.284,0.1721,1.6985,183.056,1
80.0634,3.7285,0.1104,0.0556,0.57,286.451,1
45.5567,2.9263,0.2749,0.1404,3.378,214.16,1
20.5056,2.3531,0.51,0.2683,1.701,205.635,1
88.6611,3.3842,0.1866,0.0981,0.71,279.442,1
23.8669,2.639,0.4271,0.2514,20.646,118.458,1
29.669,2.5521,0.4011,0.223,12.24,232.553,1
32.4734,2.7271,0.4799,0.3008,6.915,93.2392,1
91.9495,3.3654,0.2233,0.1416,4.1635,291.833,1
48.6413,2.8048,0.2978,0.1654,11.287,214.847,1
12.691,2.0233,0.7109,0.3839,79.5407,164.163,1
23.2097,2.7251,0.3823,0.2269,24.8586,168.656,1
43.1149,2.9609,0.2615,0.1537,2.4098,168.887,1
34.3373,2.8109,0.3246,0.1862,48.259,30.8191,1
50.1872,3.4718,0.1859,0.096,17.073,93.8376,1
43.9615,3.1313,0.2092,0.109,6.846,189.616,1
24.598,2.5955,0.4492,0.2297,8.0075,190.772,1
40.9468,2.7882,0.2492,0.1278,3.655,188.205,1
33.1959,2.6289,0.4324,0.2902,6.484,182.24,1
35.5524,2.7945,0.3579,0.1806,13.69,166.058,1
18.1069,2.2788,0.6158,0.3447,45.778,145.226,1
23.3353,2.6721,0.3298,0.1755,29.1324,184.927,1
31.8025,2.3502,0.3929,0.2076,9.822,228.486,1
19.8547,2.4807,0.6017,0.3851,42.523,104.52,1
72.7983,3.3429,0.1589,0.0815,7.4414,206.648,1
18.0762,2.4464,0.5868,0.3989,20.997,130.658,1
19.6908,2.3054,0.5792,0.3243,25.149,174.422,1
92.3205,3.0948,0.1704,0.0993,2.0919,246.786,1
18.9658,2.1414,0.7798,0.4585,76.0739,165.641,1
38.525,3.0257,0.2375,0.1513,2.3112,119.196,1
109.37,2.4116,0.6705,0.3973,0.589,371.095,1
31.0208,2.5218,0.5444,0.2992,8.2969,189.763,1
37.6758,3.6018,0.2457,0.1335,20.1948,71.4024,1
68.6967,3.1733,0.1858,0.0996,3.4614,178.712,1
22.7946,2.2889,0.473,0.2442,37.2132,173.349,1
72.912,2.6693,0.394,0.2131,9.402,235.075,1
74.1464,2.7348,0.2799,0.1427,4.802,300.163,1
58.4387,2.9342,0.2641,0.139,3.1218,265.076,1
62.1547,3.4072,0.1805,0.0949,3.4278,222.286,1
18.7703,2.4031,0.6166,0.3577,50.86,194.863,1
24.1417,2.7853,0.3885,0.2287,89.2231,80.7012,1
85.4576,3.2899,0.1354,0.0746,2.245,297.823,1
54.2845,2.6217,0.4683,0.2927,1.7076,211.699,1
19.7692,2.6821,0.5489,0.3274,83.8778,50.7506,1
20.6147,2.1414,0.722,0.3646,25.643,87.5154,1
53.6832,2.8048,0.3777,0.1904,0.803,295.812,1
108.261,3.9109,0.0908,0.0479,1.873,230.846,1
64.713,3.5062,0.1649,0.0881,1.569,209.056,1
63.6676,2.5877,0.3256,0.1718,20.872,122.622,1
49.8142,2.372,0.5096,0.2781,14.103,92.7215,1
47.4667,2.7181,0.3502,0.2172,11.762,223.254,1
41.504,2.6794,0.249,0.1496,12.8677,225.89,1
47.1637,2.9363,0.2606,0.143,7.132,180.522,1
70.6596,3.1274,0.1529,0.0764,11.138,253.993,1
66.5662,3.5894,0.1552,0.0779,0.4,261.59,1
28.3371,2.968,0.3337,0.19,7.208,107.15,1
53.7088,2.8695,0.2984,0.1668,11.677,252.365,1
79.7124,3.3244,0.2914,0.1708,2.129,340.809,1
30.251,2.6946,0.3495,0.1768,2.103,154.642,1
20.7708,2.5815,0.4404,0.2267,72.2425,228.28,1
27.1848,2.4893,0.4052,0.2188,47.377,183.708,1
66.8289,2.8979,0.3896,0.1967,5.1606,325.446,1
35.8341,2.7864,0.2649,0.148,6.11,151.76,1
57.8911,2.8497,0.2346,0.1435,8.217,193.871,1
62.7644,3.7026,0.1807,0.1001,4.1234,171.784,1
30.3706,3.0177,0.3005,0.1531,6.7334,160.596,1
23.3751,2.3243,0.5924,0.3104,33.8435,94.5324,1
101.178,3.1982,0.152,0.0763,3.1693,170.111,1
39.2852,2.7396,0.3461,0.1812,11.679,254.953,1
12.7592,2.2162,0.7234,0.3678,1.2142,105.064,1
34.2513,2.7202,0.2762,0.1514,4.939,238.184,1
23.2118,2.2455,0.5568,0.304,7.755,114.905,1
43.0546,2.5676,0.2625,0.1475,12.089,149.596,1
20.7417,2.4669,0.4573,0.2406,16.395,151.372,1
22.3238,2.5231,0.4888,0.2504,18.82,206.474,1
79.6309,3.466,0.1556,0.0788,2.3084,270.704,1
32.9957,2.4175,0.5507,0.327,71.066,65.1353,1
60.012,2.9398,0.2389,0.1327,11.1868,196.59,1
26.1033,2.7657,0.3105,0.1827,5.4609,182.494,1
40.0436,3.3093,0.1673,0.0881,1.6058,147.6,1
18.8932,2.4822,0.5239,0.3245,14.71,170.615,1
43.9241,2.7202,0.381,0.2486,21.329,66.8513,1
23.6577,2.243,0.5657,0.3,26.831,126.2,1
28.4739,2.6862,0.2945,0.1637,25.431,30.4329,1
70.0225,3.3192,0.1654,0.087,3.902,256.658,1
72.7908,3.5405,0.1803,0.0903,4.2311,202.542,1
30.5807,2.2253,0.5298,0.2827,0.0648,129.373,1
35.086,3.1159,0.2688,0.1673,11.3154,177.42,1
31.3015,2.4616,0.418,0.2228,7.923,220.319,1
25.7334,2.7316,0.4527,0.2792,49.1483,67.7852,1
19.6633,2.2304,0.6176,0.4147,81.0899,211.998,1
42.7735,2.7447,0.2646,0.1485,13.269,277.779,1
23.9467,2.634,0.446,0.2404,60.493,185.734,1
37.6122,2.7404,0.3345,0.1918,28.521,220.166,1
22.241,2.2529,0.6536,0.338,32.6097,185.545,1
27.506,2.7263,0.338,0.1775,3.3162,187.61,1
21.1305,2.4057,0.4676,0.2534,81.2274,168.833,1
27.515,2.6196,0.4034,0.2197,8.977,173.972,1
31.5473,2.5993,0.3371,0.2,10.6245,196.962,1
18.0693,2.3598,0.7162,0.3996,84.2593,185.565,1
67.9187,2.9001,0.2605,0.1479,9.654,232.656,1
27.8546,2.882,0.4173,0.2277,4.1367,213.389,1
81.8495,2.772,0.2604,0.1513,16.194,237.432,1
23.4123,2.4997,0.4684,0.2927,39.4624,212.326,1
70.2288,3.1828,0.2553,0.1506,1.562,321.541,1
34.1392,2.5599,0.3994,0.2576,13.7301,112.276,1
29.0976,2.6243,0.3919,0.2458,36.077,194.115,1
29.4748,2.8264,0.3743,0.1887,10.721,162.78,1
38.941,3.2844,0.2234,0.1265,13.913,131.992,1
20.8484,2.437,0.5082,0.2797,68.6674,100.45,1
88.0174,3.2456,0.1823,0.0934,6.986,243.888,1
59.0112,3.5361,0.1691,0.0921,1.8811,206.842,1
79.539,3.4649,0.1793,0.0931,1.6851,267.36,1
106.364,4.3237,0.0584,0.0301,0.624,244.643,1
34.9792,3.0222,0.247,0.1363,4.075,94.4528,1
12.4899,2.1688,0.6915,0.3559,45.6611,217.134,1
55.8434,3.2007,0.2123,0.1169,5.4306,233.588,1
68.7354,2.9251,0.2175,0.1182,9.3666,153.897,1
64.5226,2.5557,0.3115,0.1878,0.47,198.596,1
31.5737,2.6258,0.3006,0.155,29.603,135.206,1
38.3448,2.8238,0.3781,0.2093,0.1899,177.974,1
37.7253,2.7716,0.2758,0.1497,15.834,256.048,1
26.7751,2.6556,0.4199,0.2155,66.0281,57.7037,1
33.0776,2.5126,0.3963,0.2473,29.307,97.1445,1
42.1712,2.4829,0.4539,0.2418,10.7626,124.56,1
67.2302,2.9664,0.2896,0.1486,13.9446,204.926,1
62.3261,2.7574,0.3217,0.1705,73.9247,122.613,1
63.7006,3.2033,0.2549,0.1362,8.519,245.152,1
36.852,3.0052,0.2184,0.1131,8.877,98.7117,1
38.7558,2.8041,0.3108,0.1562,3.952,148.485,1
57.7702,3.146,0.2272,0.1504,6.527,154.146,1
88.5562,3.6856,0.1452,0.0851,0.8794,230.344,1
